,CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
158,629,,1,2,1,3,0,0,0,0,1,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2,1,1,1,4,4,4,1,1,1,1,1,1,1,0,0,0,4.0,1,,,,,,1.0,,,,,,,,,,,2,3.0,3.0,2.0,2.0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,3.0,3,2.0,1.0,2.0,1.0,4,4,3,3,,,,,,,3,3,3,3,1,1,1,2,1,2.0,0,0,1,0,0,0,2,2,1,3,3.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,2,2,3,3,3,2,4,2,1,1,1,1,1,1,0,2,1,4,2,2,1,1.0,17,9.0,1.0,4,1,11,1,3,1,3,6,0,0,0,2,4,20180330,21.58333333,2,2,,1.220168815
160,634,,1,1,1,2,1,0,1,0,1,0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,2,4,4,4,1,1,1,0,0,0,1,0,0,0,5.0,1,,1.0,,,,,,,,,,,,,,,3,4.0,3.0,4.0,4.0,1,0,0,0,0,0,1,0,3,1,2,3,3,2,3.0,3,1.0,1.0,1.0,1.0,4,4,4,3,,,,,,,1,2,1,2,1,3,2,1,2,1.0,0,1,0,1,0,0,2,2,1,1,2.0,2.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,1,1,1,1,3,3,2,3,4,2,0,0,0,0,0,0,1,4,2,2,3,3,2,2.0,16,5.0,4.0,2,2,1,0,1,1,4,2,0,0,0,1,1,20180325,24.78333333,1,1,,4.918080078
161,639,,1,2,2,3,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,1,4,4,4,2,1,0,0,1,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,2,2.0,2.0,2.0,4.0,0,0,0,0,1,0,1,0,3,2,1,3,3,3,2.0,3,1.0,1.0,1.0,1.0,2,2,4,3,,,,,,,2,2,2,2,2,1,2,2,2,1.0,0,0,0,0,0,1,3,1,2,2,2.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2,2,3,3,3,3,3,4,2,3,0,0,0,0,1,0,0,2,3,2,3,3,4,2.0,14,8.0,1.0,4,2,12,0,4,1,3,6,0,0,4,0,2,20180324,7.716666667,2,2,,0.564116583
162,641,,1,2,2,2,0,1,0,0,0,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,3,2,1,1,1,1,1,1,0,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,4,2.0,2.0,3.0,3.0,1,1,1,0,0,0,0,0,1,2,1,2,3,2,2.0,2,2.0,1.0,2.0,1.0,1,3,3,2,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,1,1,3,1,1,1.0,0,1,1,0,0,0,1,2,1,3,2.0,2.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2,2,2,1,3,2,2,2,2,3,1,0,1,0,0,1,0,3,1,2,3,2,1,1.0,15,1.0,1.0,1,1,5,1,2,1,2,6,1,0,3,0,2,20180308,10.85,2,2,,1.270359979
163,642,,2,1,1,1,0,0,0,0,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,4,3,4,1,1,1,1,1,1,1,1,1,0,6.0,2,,,,,,,,,,,,,1.0,,,,1,1.0,2.0,2.0,2.0,1,1,0,0,1,0,1,0,2,1,2,1,3,3,3.0,2,1.0,1.0,2.0,1.0,2,3,2,2,1.0,1.0,0.0,1.0,0.0,0.0,1,2,1,1,1,1,1,1,2,2.0,0,1,0,1,1,0,1,3,1,2,4.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,2,2,2,4,3,3,3,1,1,1,1,1,1,1,0,4,2,1,3,2,1,1.0,16,9.0,1.0,3,2,13,1,4,1,1,3,0,0,0,1,2,20180308,10.41666667,2,2,,1.127664596
164,643,,2,3,3,3,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,2,2,2,3,2,1,0,1,1,1,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,2,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3.0,3,1.0,1.0,2.0,1.0,3,3,3,3,,,,,,,2,3,3,2,3,1,2,1,1,1.0,0,0,0,0,1,0,1,2,1,3,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2,2,2,2,3,2,2,2,2,3,0,0,0,0,0,0,1,2,1,1,4,3,3,2.0,17,10.0,1.0,1,1,13,0,2,1,4,6,0,0,3,1,3,20180323,6.633333333,2,2,,2.003524382
165,647,,2,1,1,3,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,98,1,1,4,3,4,2,1,0,1,0,1,1,0,0,0,4.0,2,,,,,,,,1.0,,,,,,,,,2,3.0,2.0,3.0,4.0,1,0,0,0,0,0,0,0,2,2,2,2,3,3,2.0,1,1.0,1.0,2.0,1.0,3,3,4,3,,,,,,,2,2,3,3,1,1,2,1,2,2.0,1,0,0,0,0,0,2,3,2,2,2.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,3,3,3,2,4,3,4,3,3,3,0,0,0,0,0,0,1,1,2,2,4,2,1,2.0,13,12.0,1.0,2,1,13,1,4,1,4,4,0,0,0,2,2,20180405,12.21666667,2,2,,1.648928776
166,655,,1,2,1,3,0,0,1,0,0,0,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5.0,1,,,,,,,,,,,,,,,,99.0,1,1.0,1.0,1.0,1.0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1.0,3,2.0,2.0,2.0,2.0,3,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1.0,1,0,1,0,0,0,1,1,1,2,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,3,3,1,1,1,2.0,15,13.0,2.0,1,1,13,1,2,1,2,4,0,0,0,2,2,20180308,6.233333333,2,2,,0.223452727
167,659,,2,4,1,2,1,0,1,1,1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,3,3,3,1,1,0,1,1,1,1,0,0,0,3.0,2,,,,,,,,,,,,1.0,,,,,1,3.0,2.0,1.0,2.0,1,0,0,0,0,0,1,0,2,2,1,2,2,1,1.0,2,2.0,2.0,1.0,2.0,2,2,2,2,1.0,1.0,0.0,1.0,1.0,0.0,1,3,2,2,1,1,3,2,2,1.0,1,0,1,0,1,0,2,1,2,2,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,0,1,2,2,4,3,3,2.0,16,10.0,2.0,2,2,9,1,2,1,2,4,0,0,0,2,2,20180327,46.48333333,2,2,,0.15976828
168,660,,2,2,4,3,0,1,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,3,3,2,1,1,0,1,0,1,1,0,0,0,2.0,1,1.0,,,,,,,,,,,,,,,,4,2.0,1.0,2.0,4.0,1,1,0,0,0,0,0,0,1,2,1,1,2,1,2.0,2,1.0,1.0,1.0,1.0,1,2,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,3,4,3,2,1,2,1,1,1.0,1,1,1,1,1,0,2,1,1,1,3.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1,2,1,2,2,2,4,1,1,3,0,1,0,0,0,0,0,1,1,1,1,2,4,1.0,16,14.0,1.0,1,1,13,1,2,1,3,4,0,0,0,1,3,20180316,5.183333333,2,2,,1.674540619
169,667,,1,4,2,3,0,1,0,1,1,0,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,4,3,4,2,1,0,1,1,1,1,0,0,0,5.0,1,1.0,,,,,,,,,,,,,,,,2,2.0,4.0,3.0,4.0,1,0,0,0,0,0,0,0,2,2,2,2,3,2,3.0,3,1.0,1.0,1.0,1.0,2,2,2,3,,,,,,,3,3,3,3,1,1,2,1,1,1.0,0,1,0,1,0,0,1,1,1,2,3.0,3.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,1,1,1,2,4,3,2,4,2,3,1,1,1,0,0,1,0,4,1,3,3,1,1,1.0,17,9.0,2.0,3,2,6,1,2,0,2,5,2,0,0,1,2,20180309,19.85,2,2,,0.343814208
170,674,,2,3,2,2,0,0,1,0,0,0,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,1,1,1,1,0,0,0,5.0,1,1.0,,,,,,,,,,,,,,,,3,3.0,3.0,2.0,1.0,0,0,1,0,0,0,1,0,2,1,1,2,3,3,3.0,3,1.0,1.0,2.0,1.0,4,4,4,3,,,,,,,1,3,1,1,2,3,1,2,2,1.0,0,0,0,0,0,1,2,2,1,3,3.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1.0,13,10.0,4.0,3,2,3,1,3,1,3,2,0,0,0,1,1,20180409,7.35,2,2,,0.259919115
171,676,,2,3,3,2,0,1,0,1,1,0,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,3,2,2,2,2,0,1,0,0,0,0,0,0,,2,,,,,,,,,,1.0,,,,,,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,3,3,1,3,2,3,3.0,3,2.0,2.0,1.0,2.0,4,4,4,3,,,,,,,4,4,3,3,1,3,,2,2,,0,0,0,0,0,1,2,2,1,2,4.0,2.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,2,2,2,1,3,3,3,3,3,3,0,0,0,0,0,0,1,4,1,4,1,2,2,2.0,16,14.0,1.0,1,1,13,1,1,1,3,5,0,0,2,1,2,20180308,28.58333333,2,2,,0.425427715
172,677,,2,4,1,2,0,0,1,0,0,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,2,4,1,1,1,1,1,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,3.0,1.0,4.0,4.0,1,1,0,0,1,0,1,0,1,1,1,1,3,2,2.0,2,1.0,1.0,2.0,1.0,2,4,4,1,1.0,0.0,0.0,1.0,1.0,0.0,1,3,1,1,1,1,3,2,2,2.0,1,0,0,0,1,0,1,1,1,2,2.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1,3,1,1,4,4,4,3,4,4,1,0,1,0,0,0,0,3,1,1,4,1,3,2.0,16,10.0,1.0,1,1,8,1,2,1,2,4,0,0,1,1,2,20180308,19.68333333,2,2,,0.279077063
174,685,,1,3,1,2,1,1,1,0,0,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,3,3,2,2,2,0,1,1,1,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,4,4.0,4.0,3.0,3.0,1,0,0,0,0,0,0,0,2,2,2,2,3,2,3.0,3,2.0,2.0,2.0,2.0,4,4,4,2,1.0,1.0,1.0,1.0,0.0,0.0,1,3,2,2,3,3,,1,1,,0,0,0,0,0,1,2,1,2,4,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1,1,1,1,4,2,2,3,1,0,0,0,0,0,0,1,1,1,1,4,1,1,2.0,16,9.0,2.0,1,2,5,1,4,1,3,6,0,0,1,1,4,20180328,20.83333333,2,2,,0.932522684
175,687,,1,2,2,3,0,1,0,0,0,0,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,2,1,2,1,2,2,2,2,0,1,0,1,1,0,1,0,2.0,3,,,,,,,,,,,,,,,,,3,3.0,3.0,2.0,3.0,1,0,1,1,0,0,0,0,3,2,3,2,2,2,2.0,2,2.0,2.0,1.0,2.0,3,2,4,3,,,,,,,2,4,2,3,1,1,,1,1,,0,0,0,0,0,1,2,2,2,2,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2,2,1,1,2,2,3,3,2,3,1,1,1,1,1,1,0,4,1,1,4,1,2,1.0,16,9.0,4.0,1,1,2,0,2,1,4,4,0,0,0,1,3,20180311,9.9,2,2,,0.161035983
176,690,,2,3,1,3,0,0,1,0,1,0,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,4,3,4,2,1,0,1,0,0,1,0,1,0,5.0,2,,,,,,,,1.0,,,,,,,,,4,3.0,4.0,4.0,3.0,0,0,0,0,0,1,0,0,3,2,2,3,2,1,3.0,3,2.0,1.0,2.0,2.0,2,4,4,3,,,,,,,1,3,1,1,2,3,1,1,1,1.0,0,1,0,0,0,0,2,1,1,3,2.0,1.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,1,2,1,1,4,3,3,1,1,2,1,0,0,0,0,0,0,3,3,3,2,2,1,1.0,16,11.0,1.0,1,1,9,1,2,1,4,6,1,0,2,1,3,20180321,23.01666667,2,2,,1.199553555
177,692,,2,1,1,3,0,0,0,1,1,0,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,3,4,1,1,1,1,1,1,1,0,0,0,4.0,1,,1.0,,,,,,,,,,,,,,,4,2.0,4.0,2.0,3.0,1,1,1,0,0,0,0,0,2,2,2,1,3,3,3.0,3,1.0,1.0,1.0,1.0,4,4,1,3,,,,,,,1,2,1,3,1,1,3,2,1,1.0,0,0,0,1,0,0,1,1,1,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1,2,2,2,1,1,1,1,1,2,1,1,1,0,0,0,0,4,1,4,1,1,4,1.0,17,11.0,1.0,1,1,11,1,3,0,1,3,0,0,0,1,2,20180325,9.866666667,2,2,,1.122253232
178,694,,2,4,2,2,0,1,0,0,1,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,1,0,1,1,0,0,0,5.0,1,,,,,1.0,,,,,,,,,,,,3,2.0,2.0,4.0,1.0,0,0,0,0,0,0,0,1,2,2,1,2,2,3,3.0,2,1.0,1.0,2.0,1.0,4,4,4,3,,,,,,,3,77,3,77,1,1,1,1,1,1.0,0,0,0,0,0,1,2,2,1,3,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,2,2,2,1,2,2,2,2,3,2,1,0,0,0,0,0,0,2,1,2,3,1,2,1.0,14,12.0,1.0,3,2,9,1,4,1,3,3,0,0,0,1,2,20180325,9.116666667,2,2,,0.274791273
179,698,,1,4,1,2,1,1,0,0,1,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,2,3,3,2,1,2,1,1,1,1,1,0,0,0,1.0,1,,1.0,,,,,,,,,,,,,,,1,4.0,1.0,2.0,3.0,1,1,1,1,1,1,1,0,1,2,1,2,2,3,3.0,3,1.0,2.0,2.0,1.0,1,2,3,1,1.0,0.0,0.0,0.0,1.0,0.0,1,3,2,1,1,1,,2,1,,0,0,0,0,1,0,1,2,1,1,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2,3,1,2,2,4,3,3,4,3,0,0,0,0,1,0,0,4,1,1,4,1,3,2.0,15,10.0,2.0,1,2,6,1,4,1,3,2,0,0,0,1,1,20180323,15.33333333,2,2,,0.171622565
180,703,,2,4,1,3,0,1,0,0,0,0,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,3,2,2,5,1,1,1,1,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,3,3.0,3.0,2.0,4.0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3.0,2,2.0,1.0,2.0,1.0,3,4,4,3,,,,,,,2,3,3,2,1,3,1,2,2,2.0,1,0,0,0,0,0,3,2,2,2,2.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2,2,1,2,3,3,1,2,3,3,0,0,0,0,0,1,0,3,2,4,2,2,2,1.0,14,9.0,1.0,1,1,10,1,4,1,4,4,0,0,0,1,3,20180316,10.16666667,2,2,,1.044796698
181,713,,1,1,1,2,0,0,1,1,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,3,1,4,1,1,1,1,1,1,1,0,0,0,2.0,2,,,,,,,,,1.0,,,,,,,,3,3.0,2.0,1.0,2.0,1,1,0,1,0,0,1,0,3,2,1,1,3,2,1.0,1,1.0,1.0,2.0,1.0,3,4,3,1,1.0,1.0,0.0,0.0,1.0,0.0,1,1,2,2,1,3,3,2,1,1.0,1,0,1,0,1,0,1,1,1,2,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1,1,1,1,4,4,4,1,3,4,1,0,1,0,1,1,0,4,1,1,4,1,1,1.0,17,10.0,2.0,2,2,5,1,2,1,3,5,0,1,1,1,2,20180315,18.46666667,2,2,,0.252915262
182,716,,2,2,4,1,1,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,1,3,1,2,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,3.0,2.0,3.0,4.0,0,0,0,0,0,0,0,1,1,3,1,3,3,2,2.0,3,1.0,1.0,2.0,1.0,2,3,2,2,1.0,1.0,0.0,0.0,0.0,0.0,2,3,1,2,1,3,2,2,1,1.0,0,1,1,0,0,0,2,1,3,2,4.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2,1,2,1,4,3,4,3,2,3,0,0,0,0,0,0,1,2,1,2,3,3,1,2.0,14,9.0,4.0,1,2,1,0,4,1,4,5,1,1,0,1,2,20180310,18.58333333,2,2,,0.073334307
184,721,,2,1,2,1,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,3,1,0,1,1,1,1,0,0,0,5.0,1,1.0,,,,,,,,,,,,,,,,3,3.0,4.0,4.0,4.0,1,0,1,0,0,0,1,0,1,2,2,1,3,3,3.0,3,1.0,1.0,2.0,1.0,3,4,4,4,,,,,,,2,77,3,3,3,3,1,1,1,1.0,0,1,0,0,0,0,3,1,2,4,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,3,3,3,3,3,1,1,1,1,2,0,0,0,0,0,0,1,3,1,1,3,1,4,2.0,14,10.0,1.0,1,1,10,1,4,1,4,5,0,0,1,1,2,20180310,9.183333333,2,2,,1.594493801
185,726,,2,4,1,2,0,1,0,0,1,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,4,2,4,1,1,1,1,0,1,1,0,1,0,4.0,1,,1.0,,,,1.0,,,,,,,,,,,3,2.0,3.0,3.0,2.0,1,0,0,1,0,0,1,0,2,1,2,2,3,3,3.0,2,1.0,1.0,2.0,1.0,1,3,2,2,1.0,0.0,0.0,1.0,0.0,0.0,2,2,2,2,3,3,2,1,1,2.0,1,0,0,0,1,0,2,1,2,2,2.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1,1,2,1,2,3,3,3,3,3,1,0,1,0,0,0,0,2,1,1,4,1,3,2.0,16,9.0,1.0,1,1,5,0,3,0,2,3,0,0,0,1,2,20180308,24.91666667,2,2,,3.019625863
186,728,,1,1,1,3,0,0,0,0,1,0,4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,2,4,4,4,2,1,0,1,0,0,0,0,0,0,,1,1.0,,,,,,,,,,,,,,,,4,3.0,2.0,3.0,3.0,1,1,1,0,0,0,0,0,1,1,1,1,3,3,3.0,3,1.0,1.0,2.0,1.0,3,4,4,4,,,,,,,2,2,1,1,3,3,2,2,2,1.0,0,0,0,0,0,1,1,2,2,3,2.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,2,2,1,1,4,2,2,2,2,2,0,0,0,0,0,0,1,3,1,2,3,2,1,2.0,14,13.0,1.0,1,2,18,1,2,1,4,4,0,0,1,1,2,20180308,11.9,2,2,,0.506763538
188,746,,1,3,2,2,0,0,1,1,1,0,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,2,4,1,1,1,1,1,0,1,1,1,0,5.0,1,,,1.0,,,,,,,,,,,,,,2,3.0,3.0,2.0,2.0,1,0,0,1,0,0,1,0,2,1,2,1,3,3,2.0,3,2.0,1.0,2.0,1.0,3,3,4,3,,,,,,,1,2,2,1,1,1,1,1,2,2.0,1,0,1,0,0,0,2,1,1,1,2.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,2,3,2,1,2,3,2,2,3,1,1,0,0,0,1,0,0,2,3,2,4,1,1,2.0,17,10.0,1.0,3,2,5,1,4,1,2,2,0,0,0,1,1,20180408,13.46666667,2,2,,0.190180044
189,747,,1,4,4,2,0,0,0,1,0,0,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,1,1,2,4,4,3,1,1,0,0,0,0,1,0,0,0,,2,,,,,,,,,1.0,,,,,,,,4,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,3,3,3,3,2,2,3.0,2,2.0,1.0,1.0,1.0,2,4,3,3,,,,,,,2,2,2,2,3,3,2,2,2,1.0,0,0,0,0,0,1,3,4,4,4,1.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,4,4,3,3,3,4,0,0,0,0,0,0,1,4,3,3,4,2,2,2.0,16,13.0,1.0,1,1,13,1,1,1,4,6,1,1,1,1,3,20180308,26.55,2,2,,0.921578727
190,748,,2,2,2,3,0,1,1,1,1,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,2,1,0,0,1,0,1,0,1,0,6.0,3,,,,,,,,,,,,,,,,,4,2.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,2,3,2,2,3,2,3.0,3,2.0,1.0,1.0,1.0,2,4,2,4,,,,,,,2,77,2,2,1,2,3,2,1,1.0,1,0,1,0,1,0,1,2,1,3,3.0,2.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,1,1,1,1,98,98,98,98,98,98,1,0,0,0,0,0,0,3,1,1,3,1,1,1.0,16,12.0,1.0,1,1,15,1,2,1,1,6,0,0,0,3,3,20180313,13.31666667,2,2,,0.490351841
191,751,,2,2,1,2,0,1,0,1,1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,2,3,3,3,2,1,1,1,1,1,1,0,0,0,4.0,2,,,,,,,,,,1.0,,,,,,,2,4.0,2.0,2.0,4.0,1,1,1,0,1,0,1,0,2,3,2,2,3,1,2.0,1,1.0,2.0,1.0,2.0,3,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1,2,3,1,1,1,3,1,1,2.0,0,0,0,0,0,1,3,3,1,2,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,1,1,1,1,2,4,2,3,4,3,1,1,1,0,1,0,0,2,1,1,4,1,1,2.0,17,9.0,1.0,1,2,4,1,3,1,2,5,0,0,0,1,4,20180317,17.83333333,2,2,,0.555368803
